Data Medicao;PRECIPITACAO;TEMPERATURA;UMIDADE 
2000-01-01;2,6;26,1;60
2000-01-02;0;27;55
2000-01-03;0;24,6;60
2000-01-04;0,1;27,4;69
2000-01-05;0;31,8;51
2000-01-06;0;31,8;60
2000-01-07;0;31,8;60
2000-01-08;0;34,2;55
2000-01-09;0;35,8;47
2000-01-10;0;32,4;50
2000-01-11;0;35;51
2000-01-12;0;32,4;65
2000-01-13;1,9;32,8;67
2000-01-14;0;33,8;54
2000-01-15;0,1;31,4;64
2000-01-16;0;34;56
2000-01-17;3,2;33,5;76
2000-01-18;2,3;27,2;68
2000-01-19;0;30;53
2000-01-20;0;32,8;53
2000-01-21;0;35,8;47
2000-01-22;0;32,6;58
2000-01-23;0;26,8;68
2000-01-24;0;28,8;61
2000-01-25;25;23,9;76
2000-01-26;3,4;27,4;50
2000-01-27;0;27,8;55
2000-01-28;0;28,4;49
2000-01-29;0;32,3;49
2000-01-30;0;32,7;53
2000-01-31;2,7;27,2;71
2000-02-01;2,7;27;70
2000-02-02;0,3;29,4;64
2000-02-03;0;27,4;80
2000-02-04;6,3;27,4;64
2000-02-05;0;29,8;54
2000-02-06;0;31,4;52
2000-02-07;0;30,1;56
2000-02-08;0;32,4;51
2000-02-09;0;33,6;51
2000-02-10;31,9;32,2;58
2000-02-11;0;32,8;57
2000-02-12;0;36,8;49
2000-02-13;0;31,2;53
2000-02-14;6,6;25,2;78
2000-02-15;0,4;23,6;86
2000-02-16;1,8;27,4;54
2000-02-17;0,1;27,8;50
2000-02-18;0;29;49
2000-02-19;0;29,8;43
2000-02-20;0;30,6;48
2000-02-21;0;29,2;60
2000-02-22;0;30;60
2000-02-23;0;30,8;59
2000-02-24;4,6;33;45
2000-02-25;0;32,4;50
2000-02-26;0;32;59
2000-02-27;0;36,3;51
2000-02-28;53,1;26,4;74
2000-02-29;0,6;23;80
2000-03-01;2,3;23,5;80
2000-03-02;3,3;32,2;63
2000-03-03;0;30;71
2000-03-04;0;25,8;87
2000-03-05;11,7;31,3;69
2000-03-06;7,3;24,6;85
2000-03-07;18,4;26,2;60
2000-03-08;1,3;25,6;63
2000-03-09;0;26,4;58
2000-03-10;0;28,6;61
2000-03-11;0;27,4;61
2000-03-12;0;27,2;57
2000-03-13;0;29;58
2000-03-14;0;31,4;57
2000-03-15;0;32;58
2000-03-16;0;33,4;48
2000-03-17;9,4;30,2;72
2000-03-18;0;25,8;51
2000-03-19;0;26,7;52
2000-03-20;0;30,1;48
2000-03-21;0;28,2;62
2000-03-22;0;27,2;67
2000-03-23;0;32,8;52
2000-03-24;9,7;25,8;73
2000-03-25;10,5;27,3;55
2000-03-26;0;30,2;51
2000-03-27;4,7;26,3;78
2000-03-28;8;23,2;44
2000-03-29;0;22,8;64
2000-03-30;0;28,6;55
2000-03-31;21,3;23,6;80
2000-04-01;6;24,6;68
2000-04-02;0;24;60
2000-04-03;0;26;53
2000-04-04;0;28;50
2000-04-05;0;30,4;57
2000-04-06;0;31;56
2000-04-07;0;32,2;55
2000-04-08;0;33,2;48
2000-04-09;0;29,8;69
2000-04-10;0;31,3;67
2000-04-11;3,4;26;88
2000-04-12;19,1;20,2;86
2000-04-13;60,3;22,4;79
2000-04-14;13;24,2;65
2000-04-15;0;25,6;60
2000-04-16;0;25;69
2000-04-17;5,5;20,8;85
2000-04-18;15,7;26,2;73
2000-04-19;14;23,8;73
2000-04-20;0;20;69
2000-04-21;0,2;22;74
2000-04-22;0,5;23,2;56
2000-04-23;0;24,6;56
2000-04-24;0;27,4;52
2000-04-25;0;28,3;45
2000-04-26;0;28,6;52
2000-04-27;0;29,4;54
2000-04-28;0;24,8;76
2000-04-29;3,5;26,3;71
2000-04-30;0;30,2;62
2000-05-01;0;30,4;56
2000-05-02;9,9;23,6;78
2000-05-03;0,2;23,8;73
2000-05-04;0,1;26;71
2000-05-05;74,7;24;86
2000-05-06;6,1;18,2;60
2000-05-07;0;18,4;55
2000-05-08;0;20;55
2000-05-09;0;20,2;58
2000-05-10;0;20,2;66
2000-05-11;1,1;22;69
2000-05-12;0;25,1;51
2000-05-13;0;25,4;54
2000-05-14;0;22,1;69
2000-05-15;0;21,9;78
2000-05-16;5;22,5;82
2000-05-17;2,1;19,1;79
2000-05-18;20,8;19,6;69
2000-05-19;0;19;70
2000-05-20;0;20,2;68
2000-05-21;0;22,4;58
2000-05-22;0;23,1;59
2000-05-23;0;21,8;74
2000-05-24;0;24,2;50
2000-05-25;0;29;45
2000-05-26;9,6;24,3;63
2000-05-27;0;18,6;54
2000-05-28;0;18;62
2000-05-29;0;18,2;55
2000-05-30;0;19,2;55
2000-05-31;0;14,6;73
2000-06-01;9,7;16;59
2000-06-02;0,3;18;59
2000-06-03;0;21,8;60
2000-06-04;0;23,4;52
2000-06-05;3,1;23,8;72
2000-06-06;36,9;20;91
2000-06-07;31,6;21,8;96
2000-06-08;11,5;22,2;86
2000-06-09;0;20,2;74
2000-06-10;0;26;69
2000-06-11;27,2;19,6;74
2000-06-12;0,4;18,2;69
2000-06-13;0;27,8;51
2000-06-14;0;29,4;56
2000-06-15;0;30,8;45
2000-06-16;1,6;24,7;65
2000-06-17;17,6;16,6;91
2000-06-18;12,4;15,7;95
2000-06-19;35,2;16,6;93
2000-06-20;8,1;15,2;61
2000-06-21;0;13,9;37
2000-06-22;0;18,4;44
2000-06-23;0;22,2;47
2000-06-24;0;29,4;32
2000-06-25;0;25,2;47
2000-06-26;0;17,3;78
2000-06-27;0,5;21,6;63
2000-06-28;0;28,9;49
2000-06-29;0,7;22,2;74
2000-06-30;35,1;18;71
2000-07-01;0;25,6;58
2000-07-02;0,7;27,3;61
2000-07-03;38,6;14;61
2000-07-04;0;20,1;46
2000-07-05;0;24,6;57
2000-07-06;0;27,4;57
2000-07-07;0;27,4;51
2000-07-08;0;28,6;53
2000-07-09;21,4;22,8;76
2000-07-10;23,9;19,8;96
2000-07-11;25,2;17,3;68
2000-07-12;2,7;11,8;60
2000-07-13;0;9,2;58
2000-07-14;0,1;12,4;43
2000-07-15;0;12,8;55
2000-07-16;0;9,2;59
2000-07-17;0;10,7;53
2000-07-18;0;14,6;46
2000-07-19;0;11,8;40
2000-07-20;0;14,4;41
2000-07-21;0;20,1;36
2000-07-22;10,2;14,8;73
2000-07-23;0,2;11,3;53
2000-07-24;0;15,4;47
2000-07-25;0;18;51
2000-07-26;0;16;52
2000-07-27;0;19;46
2000-07-28;0;21,2;50
2000-07-29;0;14,2;77
2000-07-30;0;15,4;80
2000-07-31;0,1;18;83
2000-08-01;0;23,6;60
2000-08-02;0;24,4;61
2000-08-03;0;16;55
2000-08-04;0;14,4;54
2000-08-05;0;20,2;39
2000-08-06;0;22,5;42
2000-08-07;0;25,4;48
2000-08-08;0;27,3;47
2000-08-09;7,8;21,4;62
2000-08-10;1,4;12,4;58
2000-08-11;0;13;53
2000-08-12;0;13,6;66
2000-08-13;0;19,8;49
2000-08-14;0;18,8;79
2000-08-15;16,4;18,8;63
2000-08-16;1,6;19,4;45
2000-08-17;0;19,4;62
2000-08-18;0;21,4;51
2000-08-19;0;25,8;42
2000-08-20;0;26,6;48
2000-08-21;0;29,4;45
2000-08-22;0;27,4;45
2000-08-23;0;25,6;52
2000-08-24;11,5;25,4;55
2000-08-25;0,1;20,4;68
2000-08-26;55;18,8;76
2000-08-27;0;17,4;58
2000-08-28;0;14,6;67
2000-08-29;0;15,5;42
2000-08-30;0,1;22,4;26
2000-08-31;0;25,1;53
2000-09-01;0;16,2;51
2000-09-02;0;18,4;51
2000-09-03;0;19,6;44
2000-09-04;0;23,8;63
2000-09-05;0;25,4;41
2000-09-06;0;21,4;50
2000-09-07;0;27,8;36
2000-09-08;0;28,4;43
